Format Version,1.23,Take Name,sim-fk-400-6,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-01 06.13.07.517 PM,Capture Start Frame,2877408,Total Frames in Take,8736,Total Exported Frames,8736,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,321.703308,885.594604,378.550110,229.051941,888.662048,368.326904,274.495544,886.800049,395.037231,305.917999,1093.948242,333.939575,294.737885,1090.681763,357.300995,263.967926,1098.575195,318.490784,257.144501,1094.682251,345.901489,289.240692,1300.794312,380.430145,251.106567,1302.820557,359.479950,275.962128,1306.328491,333.048096,231.485397,1503.062866,398.510834,273.482056,1509.767334,400.141724,257.237274,1512.752930,357.684509,255.683929,1293.353638,363.355347,,,,,,,,,,,,
7,0.058000,321.709930,885.537537,378.471161,229.049866,888.650879,368.328430,274.488373,886.788574,395.029175,305.908173,1093.935669,333.924408,294.733124,1090.670410,357.291626,263.968201,1098.567505,318.487091,257.145569,1094.680420,345.906036,289.203461,1300.756348,380.420776,251.096817,1302.824463,359.477966,275.951477,1306.325439,333.051422,231.485840,1503.057617,398.512787,273.480194,1509.768066,400.143433,257.244873,1512.745850,357.697266,255.678589,1293.325195,363.331635,,,,,,,,,,,,
8,0.067000,321.719238,885.465271,378.390320,229.155014,888.661682,368.276459,274.489380,886.805237,395.034790,305.921112,1093.942261,333.929779,294.737030,1090.677490,357.299011,263.972290,1098.577393,318.486542,257.156219,1094.671143,345.899567,289.204010,1300.751709,380.417999,251.101074,1302.825684,359.476776,275.951447,1306.323242,333.045715,231.486557,1503.062622,398.511597,273.485260,1509.767944,400.143250,257.250244,1512.748413,357.713776,255.687271,1293.343872,363.349152,,,,,,,,,,,,
9,0.075000,321.726715,885.429626,378.357330,229.064682,888.650391,368.319611,274.501251,886.801941,395.033386,305.911133,1093.933838,333.930206,294.736237,1090.673706,357.297913,263.965393,1098.582886,318.478821,257.153748,1094.679077,345.904144,289.204407,1300.755493,380.415619,251.104233,1302.820557,359.469482,275.961639,1306.324951,333.047729,231.483231,1503.066284,398.509399,273.488403,1509.765259,400.139221,257.251953,1512.748291,357.719360,255.681183,1293.339355,363.340057,,,,,,,,,,,,
10,0.083000,321.634521,885.355652,378.638062,229.042435,888.649658,368.323669,274.502380,886.801636,395.034515,305.907379,1093.922119,333.933105,294.735779,1090.664429,357.302460,263.966400,1098.562744,318.488556,257.150635,1094.662964,345.905304,289.205109,1300.756226,380.416992,251.103073,1302.828491,359.476593,275.950745,1306.322998,333.043396,231.486755,1503.060181,398.508240,273.484131,1509.768921,400.141388,257.256134,1512.741089,357.721313,255.682297,1293.337646,363.338196,,,,,,,,,,,,
11,0.092000,321.707031,885.570984,378.536804,229.055252,888.658630,368.320221,274.502777,886.814148,395.029022,305.907867,1093.932739,333.939240,294.734131,1090.674683,357.308868,263.969482,1098.584839,318.481140,257.156799,1094.667603,345.910126,289.208740,1300.757812,380.416565,251.107574,1302.818970,359.471405,275.953918,1306.328735,333.049438,231.490845,1503.061768,398.513733,273.492615,1509.764648,400.137177,257.249969,1512.755127,357.701569,255.689377,1293.347656,363.350647,,,,,,,,,,,,
12,0.100000,321.705505,885.536804,378.470886,229.048706,888.658630,368.324951,274.499817,886.809387,395.032227,305.905731,1093.928101,333.932098,294.732880,1090.673462,357.298126,263.963074,1098.571289,318.487732,257.149933,1094.667358,345.913452,289.202332,1300.761108,380.419037,251.099258,1302.827271,359.479126,275.946533,1306.327393,333.055420,231.491592,1503.060181,398.514648,273.483795,1509.776978,400.136810,257.250397,1512.747192,357.715149,255.677765,1293.326294,363.335815,,,,,,,,,,,,
13,0.108000,321.721130,885.473694,378.396118,229.155334,888.665344,368.271027,274.507324,886.809448,395.034607,305.910583,1093.918457,333.938477,294.739807,1090.668945,357.303070,263.962311,1098.567017,318.493500,257.158508,1094.668091,345.909698,289.207489,1300.755981,380.426300,251.099945,1302.812744,359.478973,275.957275,1306.328369,333.051483,231.488998,1503.057983,398.513062,273.491180,1509.771240,400.142883,257.249908,1512.739624,357.722473,255.683334,1293.338135,363.351746,,,,,,,,,,,,
14,0.117000,321.729401,885.441528,378.359528,229.196060,888.674683,368.262360,274.511078,886.824402,395.038116,305.906311,1093.933350,333.937958,294.734314,1090.679443,357.302704,263.972076,1098.594971,318.483917,257.150269,1094.679688,345.911682,289.204315,1300.756836,380.423950,251.189209,1302.905273,359.473816,275.953125,1306.328491,333.060883,231.489944,1503.070068,398.519135,273.485229,1509.773682,400.144440,257.247589,1512.751343,357.705902,255.678055,1293.345459,363.343475,,,,,,,,,,,,
15,0.125000,321.719177,885.438965,378.363617,229.189926,888.663696,368.260803,274.514862,886.822205,395.034943,305.913910,1093.928223,333.941528,294.735596,1090.673706,357.292450,263.968262,1098.580566,318.483215,257.153809,1094.665283,345.901062,289.207550,1300.744995,380.424957,251.124146,1302.825195,359.455444,275.948486,1306.324097,333.062653,231.487183,1503.064575,398.517761,273.485260,1509.772827,400.146576,257.247314,1512.742310,357.711823,255.677277,1293.334595,363.339142,,,,,,,,,,,,
