SA-base-y,SA-base-z,SA-base-x,SA-low-y,SA-low-z,SA-low-x,SA-middle-y,SA-middle-z,SA-middle-x,SA-up-y,SA-up-z,SA-up-x
-0.07604824251724138,0.15800625075862068,0.39011231420689646,-0.035736726517241385,0.36452689575862074,0.39433881520689645,-0.03915552251724138,0.5729511817586207,0.38911213120689647,-0.04584709751724138,0.7808634747586208,0.37789936220689646
-0.07606749151724138,0.1579835767586207,0.39012516220689647,-0.04735815551724139,0.36357825675862065,0.4027711272068965,-0.07152115751724138,0.5699295147586207,0.4218768712068965,-0.10755359851724139,0.7735526837586206,0.4478249912068965
-0.07610398251724138,0.1579712627586207,0.39005973220689644,-0.047200215517241385,0.36365870175862075,0.40224259420689645,-0.07103814851724138,0.5701119487586208,0.4208325592068965,-0.10689983551724139,0.7739099827586207,0.44569492520689646
-0.07602944351724139,0.1579895877586207,0.3901387422068965,-0.05355230151724139,0.3613297827586207,0.41657779920689647,-0.08340748751724138,0.5602431737586208,0.4729348542068964,-0.12643691451724137,0.7475160007586208,0.5532860512068964
-0.07601875451724138,0.1580003917586207,0.39020713220689646,-0.06601152151724138,0.35861017875862067,0.41817991020689654,-0.12194286551724139,0.5475801487586207,0.4876908972068965,-0.19783297151724138,0.7109262187586207,0.5911801552068964
-0.07600796651724138,0.15798514775862071,0.3899490752068965,-0.0637899645172414,0.3606370647586207,0.40652710920689644,-0.12045583451724139,0.5563179417586207,0.4523235262068965,-0.20306047951724138,0.7328053687586207,0.5243549592068965
-0.07601785451724138,0.1579732767586207,0.3899783722068965,-0.06118867651724139,0.35825641875862074,0.42705002820689647,-0.10293377051724138,0.5434235327586207,0.5139904572068965,-0.1616963745172414,0.6997015477586207,0.6374872832068965
-0.07595649851724139,0.1580380957586207,0.3900917452068965,-0.045549440517241385,0.36223862675862073,0.4189428502068965,-0.05193413651724139,0.5614284157586208,0.4806923012068965,-0.06217857551724138,0.7495005597586207,0.5697046302068965
-0.07592272351724139,0.1580504097586207,0.39009421720689647,-0.057693841517241384,0.36109848975862063,0.41266318720689643,-0.09496816451724138,0.5596372167586208,0.4653918862068965,-0.1471038145172414,0.7449505717586208,0.5441415802068964
-0.07599581351724138,0.1580285287586207,0.3900366912068965,-0.05204397751724139,0.3632218427586207,0.3961549472068965,-0.08892107551724138,0.5683426617586207,0.40861680020689645,-0.15483411551724138,0.7641065167586207,0.4297136022068965
-0.07592804151724138,0.1580613507586207,0.39003119820689647,-0.043579309517241385,0.36387223275862074,0.39036600720689646,-0.06818264951724139,0.5707787577586207,0.3831803072068965,-0.12607470051724137,0.7701177467586207,0.3793870642068965
-0.07601587051724139,0.15800582375862068,0.38997654120689645,-0.05273542151724138,0.3622009067586207,0.3821180512068965,-0.10236668551724137,0.5628513897586207,0.3572822362068965,-0.18389765351724138,0.7538440037586207,0.34244321620689644
